 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
1,CH1_XY17:0105-0316-0433:stiched_Image_T0000_CH1_XY17,89.608,21.697,2.094,0.951,0,11.187,9.225,1944.222,8529514.000,1,0.000
2,CH1_XY17:0105-0316-0433:stiched_Image_T0001_CH1_XY17,89.608,22.599,2.627,0.951,0,11.187,9.225,2025.064,8884177.000,2,0.015
3,CH1_XY17:0105-0316-0433:stiched_Image_T0002_CH1_XY17,89.608,24.306,3.439,0.951,0,11.187,9.225,2177.978,9555025.000,3,0.030
4,CH1_XY17:0105-0316-0433:stiched_Image_T0003_CH1_XY17,89.608,26.004,4.497,0.951,0,11.187,9.225,2330.205,10222865.000,4,0.045
5,CH1_XY17:0105-0316-0433:stiched_Image_T0004_CH1_XY17,89.608,28.620,5.946,0.951,0,11.187,9.225,2564.543,11250928.000,5,0.060
6,CH1_XY17:0105-0316-0433:stiched_Image_T0005_CH1_XY17,89.608,32.307,7.830,0.951,0,11.187,9.225,2895.015,12700748.000,6,0.075
7,CH1_XY17:0105-0316-0433:stiched_Image_T0006_CH1_XY17,89.608,36.708,10.020,0.951,0,11.187,9.225,3289.337,14430679.000,7,0.091
8,CH1_XY17:0105-0316-0433:stiched_Image_T0007_CH1_XY17,89.608,40.815,12.040,0.951,0,11.187,9.225,3657.372,16045288.000,8,0.106
9,CH1_XY17:0105-0316-0433:stiched_Image_T0008_CH1_XY17,89.608,46.480,14.292,0.951,0,11.187,9.225,4165.025,18272418.000,9,0.121
10,CH1_XY17:0105-0316-0433:stiched_Image_T0009_CH1_XY17,89.608,47.950,14.920,0.951,0,11.187,9.225,4296.670,18849960.000,10,0.136
11,CH1_XY17:0105-0316-0433:stiched_Image_T0010_CH1_XY17,89.608,53.630,16.681,0.951,0,11.187,9.225,4805.707,21083162.000,11,0.151
12,CH1_XY17:0105-0316-0433:stiched_Image_T0011_CH1_XY17,89.608,59.262,18.278,0.951,0,11.187,9.225,5310.318,23296944.000,12,0.166
13,CH1_XY17:0105-0316-0433:stiched_Image_T0012_CH1_XY17,89.608,65.564,19.862,0.951,0,11.187,9.225,5875.029,25774394.000,13,0.181
14,CH1_XY17:0105-0316-0433:stiched_Image_T0013_CH1_XY17,89.608,71.493,21.313,0.951,0,11.187,9.225,6406.365,28105421.000,14,0.196
15,CH1_XY17:0105-0316-0433:stiched_Image_T0014_CH1_XY17,89.608,78.825,23.213,0.951,0,11.187,9.225,7063.388,30987852.000,15,0.211
16,CH1_XY17:0105-0316-0433:stiched_Image_T0015_CH1_XY17,89.608,87.664,25.804,0.951,0,11.187,9.225,7855.418,34462572.000,16,0.226
17,CH1_XY17:0105-0316-0433:stiched_Image_T0016_CH1_XY17,89.608,95.634,28.419,0.951,0,11.187,9.225,8569.611,37595817.000,17,0.242
18,CH1_XY17:0105-0316-0433:stiched_Image_T0017_CH1_XY17,89.608,107.059,32.393,0.951,0,11.187,9.225,9593.350,42087073.000,18,0.257
19,CH1_XY17:0105-0316-0433:stiched_Image_T0018_CH1_XY17,89.608,118.648,36.222,0.951,0,11.187,9.225,10631.819,46642946.000,19,0.272
20,CH1_XY17:0105-0316-0433:stiched_Image_T0019_CH1_XY17,89.608,134.376,40.778,0.951,0,11.187,9.225,12041.150,52825835.000,20,0.287
21,CH1_XY17:0105-0316-0433:stiched_Image_T0020_CH1_XY17,89.608,147.109,43.593,0.951,0,11.187,9.225,13182.140,57831485.000,21,0.302
22,CH1_XY17:0105-0316-0433:stiched_Image_T0021_CH1_XY17,89.608,155.919,44.231,0.951,0,11.187,9.225,13971.662,61295201.000,22,0.317
23,CH1_XY17:0105-0316-0433:stiched_Image_T0022_CH1_XY17,89.608,167.398,44.713,0.951,0,11.187,9.225,15000.236,65807669.000,23,0.332
24,CH1_XY17:0105-0316-0433:stiched_Image_T0023_CH1_XY17,89.608,175.878,43.575,0.951,0,11.187,9.225,15760.094,69141249.000,24,0.347
25,CH1_XY17:0105-0316-0433:stiched_Image_T0024_CH1_XY17,89.608,180.239,41.142,0.951,0,11.187,9.225,16150.894,70855729.000,25,0.362
26,CH1_XY17:0105-0316-0433:stiched_Image_T0025_CH1_XY17,89.608,183.685,38.988,0.951,0,11.187,9.225,16459.655,72210297.000,26,0.377
27,CH1_XY17:0105-0316-0433:stiched_Image_T0026_CH1_XY17,89.608,183.176,36.683,0.951,0,11.187,9.225,16414.077,72010341.000,27,0.393
28,CH1_XY17:0105-0316-0433:stiched_Image_T0027_CH1_XY17,89.608,179.825,35.144,0.951,0,11.187,9.225,16113.800,70692993.000,28,0.408
29,CH1_XY17:0105-0316-0433:stiched_Image_T0028_CH1_XY17,89.608,174.482,34.127,0.951,0,11.187,9.225,15635.043,68592638.000,29,0.423
30,CH1_XY17:0105-0316-0433:stiched_Image_T0029_CH1_XY17,89.608,170.664,33.968,0.951,0,11.187,9.225,15292.888,67091566.000,30,0.438
31,CH1_XY17:0105-0316-0433:stiched_Image_T0030_CH1_XY17,89.608,165.751,34.413,0.951,0,11.187,9.225,14852.623,65160075.000,31,0.453
32,CH1_XY17:0105-0316-0433:stiched_Image_T0031_CH1_XY17,89.608,158.964,34.496,0.951,0,11.187,9.225,14244.455,62491976.000,32,0.468
33,CH1_XY17:0105-0316-0433:stiched_Image_T0032_CH1_XY17,89.608,153.941,34.566,0.951,0,11.187,9.225,13794.411,60517583.000,33,0.483
34,CH1_XY17:0105-0316-0433:stiched_Image_T0033_CH1_XY17,89.608,147.507,34.621,0.951,0,11.187,9.225,13217.860,57988193.000,34,0.498
35,CH1_XY17:0105-0316-0433:stiched_Image_T0034_CH1_XY17,89.608,141.025,34.031,0.951,0,11.187,9.225,12637.032,55440037.000,35,0.513
36,CH1_XY17:0105-0316-0433:stiched_Image_T0035_CH1_XY17,89.608,135.249,33.588,0.951,0,11.187,9.225,12119.401,53169132.000,36,0.528
37,CH1_XY17:0105-0316-0433:stiched_Image_T0036_CH1_XY17,89.608,130.529,32.859,0.951,0,11.187,9.225,11696.453,51313614.000,37,0.544
38,CH1_XY17:0105-0316-0433:stiched_Image_T0037_CH1_XY17,89.608,126.259,32.721,0.951,0,11.187,9.225,11313.816,49634942.000,38,0.559
39,CH1_XY17:0105-0316-0433:stiched_Image_T0038_CH1_XY17,89.608,121.114,31.306,0.951,0,11.187,9.225,10852.792,47612381.000,39,0.574
40,CH1_XY17:0105-0316-0433:stiched_Image_T0039_CH1_XY17,89.608,117.795,30.637,0.951,0,11.187,9.225,10555.422,46307787.000,40,0.589
41,CH1_XY17:0105-0316-0433:stiched_Image_T0040_CH1_XY17,89.608,116.417,30.385,0.951,0,11.187,9.225,10431.939,45766050.000,41,0.604
42,CH1_XY17:0105-0316-0433:stiched_Image_T0041_CH1_XY17,89.608,112.572,29.122,0.951,0,11.187,9.225,10087.353,44254318.000,42,0.619
43,CH1_XY17:0105-0316-0433:stiched_Image_T0042_CH1_XY17,89.608,108.448,27.983,0.951,0,11.187,9.225,9717.822,42633145.000,43,0.634
44,CH1_XY17:0105-0316-0433:stiched_Image_T0043_CH1_XY17,89.608,102.119,26.118,0.951,0,11.187,9.225,9150.692,40145080.000,44,0.649
45,CH1_XY17:0105-0316-0433:stiched_Image_T0044_CH1_XY17,89.608,100.590,25.323,0.951,0,11.187,9.225,9013.676,39543978.000,45,0.664
46,CH1_XY17:0105-0316-0433:stiched_Image_T0045_CH1_XY17,89.608,97.627,24.070,0.951,0,11.187,9.225,8748.178,38379209.000,46,0.679
47,CH1_XY17:0105-0316-0433:stiched_Image_T0046_CH1_XY17,89.608,96.706,23.084,0.951,0,11.187,9.225,8665.656,38017176.000,47,0.694
48,CH1_XY17:0105-0316-0433:stiched_Image_T0047_CH1_XY17,89.608,91.377,21.155,0.951,0,11.187,9.225,8188.135,35922238.000,48,0.710
49,CH1_XY17:0105-0316-0433:stiched_Image_T0048_CH1_XY17,89.608,90.561,20.041,0.951,0,11.187,9.225,8115.025,35601496.000,49,0.725
50,CH1_XY17:0105-0316-0433:stiched_Image_T0049_CH1_XY17,89.608,85.547,17.782,0.951,0,11.187,9.225,7665.722,33630358.000,50,0.740
51,CH1_XY17:0105-0316-0433:stiched_Image_T0050_CH1_XY17,89.608,81.918,15.940,0.951,0,11.187,9.225,7340.536,32203729.000,51,0.755
52,CH1_XY17:0105-0316-0433:stiched_Image_T0051_CH1_XY17,89.608,80.986,14.712,0.951,0,11.187,9.225,7256.985,31837183.000,52,0.770
53,CH1_XY17:0105-0316-0433:stiched_Image_T0052_CH1_XY17,89.608,78.706,13.086,0.951,0,11.187,9.225,7052.744,30941155.000,53,0.785
54,CH1_XY17:0105-0316-0433:stiched_Image_T0053_CH1_XY17,89.608,75.930,11.508,0.951,0,11.187,9.225,6803.958,29849703.000,54,0.800
55,CH1_XY17:0105-0316-0433:stiched_Image_T0054_CH1_XY17,89.608,74.831,10.216,0.951,0,11.187,9.225,6705.459,29417578.000,55,0.815
56,CH1_XY17:0105-0316-0433:stiched_Image_T0055_CH1_XY17,89.608,72.796,8.850,0.951,0,11.187,9.225,6523.147,28617755.000,56,0.830
57,CH1_XY17:0105-0316-0433:stiched_Image_T0056_CH1_XY17,89.608,70.313,7.649,0.951,0,11.187,9.225,6300.638,27641585.000,57,0.845
58,CH1_XY17:0105-0316-0433:stiched_Image_T0057_CH1_XY17,89.608,69.849,6.730,0.951,0,11.187,9.225,6259.083,27459277.000,58,0.861
59,CH1_XY17:0105-0316-0433:stiched_Image_T0058_CH1_XY17,89.608,69.320,5.998,0.951,0,11.187,9.225,6211.639,27251138.000,59,0.876
60,CH1_XY17:0105-0316-0433:stiched_Image_T0059_CH1_XY17,89.608,67.942,5.445,0.951,0,11.187,9.225,6088.145,26709355.000,60,0.891
61,CH1_XY17:0105-0316-0433:stiched_Image_T0060_CH1_XY17,89.608,68.794,5.198,0.951,0,11.187,9.225,6164.477,27044231.000,61,0.906
62,CH1_XY17:0105-0316-0433:stiched_Image_T0061_CH1_XY17,89.608,68.387,4.960,0.951,0,11.187,9.225,6128.011,26884251.000,62,0.921
63,CH1_XY17:0105-0316-0433:stiched_Image_T0062_CH1_XY17,89.608,67.279,4.699,0.951,0,11.187,9.225,6028.771,26448875.000,63,0.936
64,CH1_XY17:0105-0316-0433:stiched_Image_T0063_CH1_XY17,89.608,67.648,4.681,0.951,0,11.187,9.225,6061.785,26593711.000,64,0.951
65,CH1_XY17:0105-0316-0433:stiched_Image_T0064_CH1_XY17,89.608,65.728,4.665,0.951,0,11.187,9.225,5889.797,25839179.000,65,0.966
66,CH1_XY17:0105-0316-0433:stiched_Image_T0065_CH1_XY17,89.608,65.656,4.502,0.951,0,11.187,9.225,5883.351,25810903.000,66,0.981
67,CH1_XY17:0105-0316-0433:stiched_Image_T0066_CH1_XY17,89.608,64.675,4.438,0.951,0,11.187,9.225,5795.442,25425235.000,67,0.996
68,CH1_XY17:0105-0316-0433:stiched_Image_T0067_CH1_XY17,89.608,66.254,4.584,0.951,0,11.187,9.225,5936.880,26045737.000,68,1.012
69,CH1_XY17:0105-0316-0433:stiched_Image_T0068_CH1_XY17,89.608,64.806,4.555,0.951,0,11.187,9.225,5807.136,25476537.000,69,1.027
70,CH1_XY17:0105-0316-0433:stiched_Image_T0069_CH1_XY17,89.608,65.930,4.699,0.951,0,11.187,9.225,5907.896,25918581.000,70,1.042
71,CH1_XY17:0105-0316-0433:stiched_Image_T0070_CH1_XY17,89.608,64.712,4.645,0.951,0,11.187,9.225,5798.736,25439685.000,71,1.057
72,CH1_XY17:0105-0316-0433:stiched_Image_T0071_CH1_XY17,89.608,64.815,4.693,0.951,0,11.187,9.225,5807.917,25479964.000,72,1.072
73,CH1_XY17:0105-0316-0433:stiched_Image_T0072_CH1_XY17,89.608,65.279,4.805,0.951,0,11.187,9.225,5849.527,25662513.000,73,1.087
74,CH1_XY17:0105-0316-0433:stiched_Image_T0073_CH1_XY17,89.608,65.122,4.802,0.951,0,11.187,9.225,5835.444,25600726.000,74,1.102
75,CH1_XY17:0105-0316-0433:stiched_Image_T0074_CH1_XY17,89.608,65.041,4.861,0.951,0,11.187,9.225,5828.210,25568991.000,75,1.117
76,CH1_XY17:0105-0316-0433:stiched_Image_T0075_CH1_XY17,89.608,65.221,4.871,0.951,0,11.187,9.225,5844.330,25639712.000,76,1.132
77,CH1_XY17:0105-0316-0433:stiched_Image_T0076_CH1_XY17,89.608,65.767,4.941,0.951,0,11.187,9.225,5893.230,25854240.000,77,1.147
78,CH1_XY17:0105-0316-0433:stiched_Image_T0077_CH1_XY17,89.608,63.879,4.834,0.951,0,11.187,9.225,5724.049,25112024.000,78,1.163
79,CH1_XY17:0105-0316-0433:stiched_Image_T0078_CH1_XY17,89.608,64.115,4.855,0.951,0,11.187,9.225,5745.275,25205149.000,79,1.178
80,CH1_XY17:0105-0316-0433:stiched_Image_T0079_CH1_XY17,89.608,60.925,4.693,0.951,0,11.187,9.225,5459.350,23950761.000,80,1.193
81,CH1_XY17:0105-0316-0433:stiched_Image_T0080_CH1_XY17,89.608,62.294,4.701,0.951,0,11.187,9.225,5582.059,24489099.000,81,1.208
82,CH1_XY17:0105-0316-0433:stiched_Image_T0081_CH1_XY17,89.608,63.908,4.884,0.951,0,11.187,9.225,5726.724,25123762.000,82,1.223
83,CH1_XY17:0105-0316-0433:stiched_Image_T0082_CH1_XY17,89.608,63.215,4.816,0.951,0,11.187,9.225,5664.553,24851011.000,83,1.238
84,CH1_XY17:0105-0316-0433:stiched_Image_T0083_CH1_XY17,89.608,62.858,4.773,0.951,0,11.187,9.225,5632.608,24710866.000,84,1.253
85,CH1_XY17:0105-0316-0433:stiched_Image_T0084_CH1_XY17,89.608,64.490,4.916,0.951,0,11.187,9.225,5778.867,25352517.000,85,1.268
86,CH1_XY17:0105-0316-0433:stiched_Image_T0085_CH1_XY17,89.608,64.614,4.888,0.951,0,11.187,9.225,5789.928,25401043.000,86,1.283
87,CH1_XY17:0105-0316-0433:stiched_Image_T0086_CH1_XY17,89.608,59.998,4.536,0.951,0,11.187,9.225,5376.327,23586530.000,87,1.298
88,CH1_XY17:0105-0316-0433:stiched_Image_T0087_CH1_XY17,89.608,62.705,4.728,0.951,0,11.187,9.225,5618.918,24650803.000,88,1.313
89,CH1_XY17:0105-0316-0433:stiched_Image_T0088_CH1_XY17,89.608,63.795,4.827,0.951,0,11.187,9.225,5716.601,25079350.000,89,1.329
90,CH1_XY17:0105-0316-0433:stiched_Image_T0089_CH1_XY17,89.608,63.026,4.771,0.951,0,11.187,9.225,5647.667,24776930.000,90,1.344
91,CH1_XY17:0105-0316-0433:stiched_Image_T0090_CH1_XY17,89.608,63.364,4.785,0.951,0,11.187,9.225,5677.961,24909833.000,91,1.359
92,CH1_XY17:0105-0316-0433:stiched_Image_T0091_CH1_XY17,89.608,61.308,4.604,0.951,0,11.187,9.225,5493.662,24101295.000,92,1.374
93,CH1_XY17:0105-0316-0433:stiched_Image_T0092_CH1_XY17,89.608,60.315,4.487,0.951,0,11.187,9.225,5404.682,23710928.000,93,1.389
94,CH1_XY17:0105-0316-0433:stiched_Image_T0093_CH1_XY17,89.608,60.977,4.520,0.951,0,11.187,9.225,5464.055,23971406.000,94,1.404
95,CH1_XY17:0105-0316-0433:stiched_Image_T0094_CH1_XY17,89.608,62.119,4.618,0.951,0,11.187,9.225,5566.364,24420245.000,95,1.419
96,CH1_XY17:0105-0316-0433:stiched_Image_T0095_CH1_XY17,89.608,60.078,4.455,0.951,0,11.187,9.225,5383.501,23618003.000,96,1.434
97,CH1_XY17:0105-0316-0433:stiched_Image_T0096_CH1_XY17,89.608,59.645,4.384,0.951,0,11.187,9.225,5344.649,23447557.000,97,1.449
98,CH1_XY17:0105-0316-0433:stiched_Image_T0097_CH1_XY17,89.608,60.810,4.491,0.951,0,11.187,9.225,5449.032,23905496.000,98,1.464
99,CH1_XY17:0105-0316-0433:stiched_Image_T0098_CH1_XY17,89.608,59.544,4.371,0.951,0,11.187,9.225,5335.605,23407880.000,99,1.480
100,CH1_XY17:0105-0316-0433:stiched_Image_T0099_CH1_XY17,89.608,60.898,4.477,0.951,0,11.187,9.225,5456.991,23940415.000,100,1.495
101,CH1_XY17:0105-0316-0433:stiched_Image_T0100_CH1_XY17,89.608,61.180,4.556,0.951,0,11.187,9.225,5482.250,24051226.000,101,1.510
102,CH1_XY17:0105-0316-0433:stiched_Image_T0101_CH1_XY17,89.608,59.140,4.378,0.951,0,11.187,9.225,5299.461,23249312.000,102,1.525
103,CH1_XY17:0105-0316-0433:stiched_Image_T0102_CH1_XY17,89.608,60.572,4.460,0.951,0,11.187,9.225,5427.781,23812264.000,103,1.540
104,CH1_XY17:0105-0316-0433:stiched_Image_T0103_CH1_XY17,89.608,60.054,4.457,0.951,0,11.187,9.225,5381.318,23608430.000,104,1.555
105,CH1_XY17:0105-0316-0433:stiched_Image_T0104_CH1_XY17,89.608,58.163,4.210,0.951,0,11.187,9.225,5211.882,22865094.000,105,1.570
